Company,Exchange,Symbol,Sector,Date added,Notes
3M,NYSE,MMM,Industrials,1976-08-09,As Minnesota Mining and Manufacturing
Alphabet (Class A),NASDAQ,GOOGL,Communication Services,2026-06-29,
American Express,NYSE,AXP,Financials,1982-08-30,
Amgen,NASDAQ,AMGN,Health Care,2020-08-31,
Amazon,NASDAQ,AMZN,Consumer Discretionary,2024-02-26,
Apple,NASDAQ,AAPL,Information Technology,2015-03-19,
Boeing,NYSE,BA,Industrials,1987-03-12,
Caterpillar,NYSE,CAT,Industrials,1991-05-06,
Chevron,NYSE,CVX,Energy,2008-02-19,Also 1930-07-18 to 1999-11-01
Cisco,NASDAQ,CSCO,Information Technology,2009-06-08,
Coca-Cola,NYSE,KO,Consumer Staples,1987-03-12,Also 1932-05-26 to 1935-11-20
Disney,NYSE,DIS,Communication Services,1991-05-06,
Goldman Sachs,NYSE,GS,Financials,2013-09-23,
Home Depot,NYSE,HD,Consumer Discretionary,1999-11-01,
Honeywell Technologies,NASDAQ,HON,Industrials,2020-08-31,AlliedSignal and Honeywell
IBM,NYSE,IBM,Information Technology,1979-06-29,Also 1932-05-26 to 1939-03-04
Johnson & Johnson,NYSE,JNJ,Health Care,1997-03-17,
JPMorgan Chase,NYSE,JPM,Financials,1991-05-06,
McDonald's,NYSE,MCD,Consumer Discretionary,1985-10-30,
Merck,NYSE,MRK,Health Care,1979-06-29,
Microsoft,NASDAQ,MSFT,Information Technology,1999-11-01,
Nike,NYSE,NKE,Consumer Discretionary,2013-09-23,
Nvidia,NASDAQ,NVDA,Information Technology,2024-11-08,
Procter & Gamble,NYSE,PG,Consumer Staples,1932-05-26,
Salesforce,NYSE,CRM,Information Technology,2020-08-31,
Sherwin-Williams,NYSE,SHW,Materials,2024-11-08,
Travelers,NYSE,TRV,Financials,2009-06-08,
UnitedHealth Group,NYSE,UNH,Health Care,2012-09-24,
Visa,NYSE,V,Financials,2013-09-23,
Walmart,NASDAQ,WMT,Consumer Staples,1997-03-17,
